ticket_id,created_at,resolved_at,department,priority,status,issue_type,reporter,assignee,title,description,duration_minutes,satisfaction_score
TKT202401010029,2024-02-21 00:00:00,2024-02-21 09:00:00,人力资源,中,处理中,咨询,user_1009,agent_2008,工单标题30,这是工单30的详细描述内容,540.0,
TKT202401010030,2024-03-21 00:00:00,2024-03-23 08:00:00,市场部,中,待回访,需求变更,user_1002,agent_2018,工单标题31,这是工单31的详细描述内容,3360.0,
TKT202401010031,2024-12-05 00:00:00,2024-12-05 13:00:00,技术部,中,待处理,功能异常,user_1096,agent_2018,工单标题32,这是工单32的详细描述内容,780.0,
TKT202401010032,2024-05-24 00:00:00,2024-05-25 02:00:00,技术部,中,待回访,投诉,user_1033,agent_2002,工单标题33,这是工单33的详细描述内容,1560.0,
TKT202401010033,2024-08-04 00:00:00,,运维部,高,已解决,性能问题,user_1095,agent_2015,工单标题34,这是工单34的详细描述内容,,4.0
TKT202401010034,2024-10-14 00:00:00,,市场部,高,待回访,系统故障,user_1048,agent_2019,工单标题35,这是工单35的详细描述内容,,4.0
TKT202401010035,2024-03-06 00:00:00,2024-03-06 05:00:00,客服部,中,处理中,数据错误,user_1086,agent_2004,工单标题36,这是工单36的详细描述内容,300.0,
TKT202401010036,2024-10-13 00:00:00,2024-10-15 04:00:00,市场部,高,处理中,性能问题,user_1023,agent_2014,工单标题37,这是工单37的详细描述内容,3120.0,
TKT202401010037,2024-06-19 00:00:00,2024-06-21 04:00:00,市场部,高,已解决,性能问题,user_1090,agent_2004,工单标题38,这是工单38的详细描述内容,3120.0,
TKT202401010038,2024-01-20 00:00:00,,财务部,中,已解决,数据错误,user_1029,agent_2001,工单标题39,这是工单39的详细描述内容,,4.0
TKT202401010039,2024-06-17 00:00:00,2024-06-18 11:00:00,运维部,中,待回访,建议,user_1087,agent_2018,工单标题40,这是工单40的详细描述内容,2100.0,
TKT202401010040,2024-01-15 00:00:00,2024-01-15 14:00:00,运维部,高,待回访,权限问题,user_1005,agent_2004,工单标题41,这是工单41的详细描述内容,840.0,3.0
TKT202401010041,2024-06-09 00:00:00,2024-06-11 07:00:00,人力资源,紧急,已关闭,其他,user_1025,agent_2009,工单标题42,这是工单42的详细描述内容,3300.0,
TKT202401010042,2024-08-11 00:00:00,2024-08-11 00:00:00,人力资源,高,已解决,建议,user_1009,agent_2011,工单标题43,这是工单43的详细描述内容,0.0,1.0
TKT202401010043,2024-06-02 00:00:00,2024-06-04 16:00:00,财务部,中,已关闭,权限问题,user_1071,agent_2005,工单标题44,这是工单44的详细描述内容,3840.0,
TKT202401010044,2024-12-06 00:00:00,2024-12-08 00:00:00,技术部,中,已关闭,需求变更,user_1001,agent_2010,工单标题45,这是工单45的详细描述内容,2880.0,
TKT202401010045,2024-08-08 00:00:00,2024-08-09 17:00:00,财务部,高,待回访,投诉,user_1095,agent_2006,工单标题46,这是工单46的详细描述内容,2460.0,3.0
TKT202401010046,2024-09-20 00:00:00,,技术部,中,处理中,数据错误,user_1019,agent_2001,工单标题47,这是工单47的详细描述内容,,
TKT202401010047,2024-08-31 00:00:00,2024-08-31 09:00:00,市场部,高,已关闭,投诉,user_1052,agent_2008,工单标题48,这是工单48的详细描述内容,540.0,
TKT202401010048,2024-12-18 00:00:00,2024-12-18 00:00:00,客服部,低,处理中,性能问题,user_1090,agent_2017,工单标题49,这是工单49的详细描述内容,0.0,5.0
TKT202401010049,2024-05-07 00:00:00,2024-05-07 15:00:00,财务部,中,已关闭,其他,user_1093,agent_2017,工单标题50,这是工单50的详细描述内容,900.0,5.0
TKT202401010050,2024-08-16 00:00:00,2024-08-16 20:00:00,财务部,低,已解决,数据错误,user_1082,agent_2009,工单标题51,这是工单51的详细描述内容,1200.0,5.0
TKT202401010051,2024-09-05 00:00:00,,客服部,中,处理中,权限问题,user_1043,agent_2011,工单标题52,这是工单52的详细描述内容,,1.0
TKT202401010052,2024-03-11 00:00:00,,市场部,高,处理中,功能异常,user_1054,agent_2014,工单标题53,这是工单53的详细描述内容,,
TKT202401010053,2024-08-26 00:00:00,,财务部,低,待回访,系统故障,user_1098,agent_2019,工单标题54,这是工单54的详细描述内容,,
TKT202401010054,2024-01-04 00:00:00,,财务部,低,待回访,需求变更,user_1078,agent_2008,工单标题55,这是工单55的详细描述内容,,3.0
TKT202401010055,2024-08-11 00:00:00,,运维部,低,处理中,投诉,user_1017,agent_2020,工单标题56,这是工单56的详细描述内容,,4.0
TKT202401010056,2024-10-30 00:00:00,2024-11-02 00:00:00,客服部,低,处理中,投诉,user_1024,agent_2002,工单标题57,这是工单57的详细描述内容,4320.0,
TKT202401010057,2024-06-16 00:00:00,2024-06-17 03:00:00,运维部,低,已解决,建议,user_1033,agent_2003,工单标题58,这是工单58的详细描述内容,1620.0,5.0
TKT202401010058,2024-01-27 00:00:00,,客服部,紧急,待处理,数据错误,user_1026,agent_2001,工单标题59,这是工单59的详细描述内容,,2.0
TKT202401010059,2024-03-05 00:00:00,2024-03-07 12:00:00,人力资源,高,已关闭,权限问题,user_1099,agent_2012,工单标题60,这是工单60的详细描述内容,3600.0,
TKT202401010060,2024-11-06 00:00:00,2024-11-06 14:00:00,技术部,中,待处理,其他,user_1004,agent_2010,工单标题61,这是工单61的详细描述内容,840.0,4.0
TKT202401010061,2024-07-22 00:00:00,,市场部,高,待处理,权限问题,user_1088,agent_2020,工单标题62,这是工单62的详细描述内容,,5.0
TKT202401010062,2024-01-22 00:00:00,2024-01-23 20:00:00,市场部,中,待处理,需求变更,user_1083,agent_2011,工单标题63,这是工单63的详细描述内容,2640.0,
TKT202401010063,2024-08-03 00:00:00,,运维部,低,处理中,建议,user_1023,agent_2017,工单标题64,这是工单64的详细描述内容,,3.0
TKT202401010064,2024-11-11 00:00:00,2024-11-13 20:00:00,财务部,低,待回访,权限问题,user_1042,agent_2008,工单标题65,这是工单65的详细描述内容,4080.0,1.0
TKT202401010065,2024-05-22 00:00:00,,财务部,低,已解决,系统故障,user_1064,agent_2011,工单标题66,这是工单66的详细描述内容,,
TKT202401010066,2024-04-18 00:00:00,2024-04-19 21:00:00,运维部,中,待回访,权限问题,user_1072,agent_2001,工单标题67,这是工单67的详细描述内容,2700.0,2.0
TKT202401010067,2024-02-13 00:00:00,2024-02-14 06:00:00,财务部,高,已关闭,投诉,user_1058,agent_2001,工单标题68,这是工单68的详细描述内容,1800.0,
TKT202401010068,2024-04-23 00:00:00,2024-04-25 03:00:00,运维部,中,已关闭,需求变更,user_1068,agent_2012,工单标题69,这是工单69的详细描述内容,3060.0,5.0
TKT202401010069,2024-06-18 00:00:00,2024-06-19 21:00:00,运维部,中,已解决,数据错误,user_1016,agent_2007,工单标题70,这是工单70的详细描述内容,2700.0,
TKT202401010070,2024-10-01 00:00:00,,市场部,低,已解决,其他,user_1098,agent_2017,工单标题71,这是工单71的详细描述内容,,1.0
TKT202401010071,2024-04-09 00:00:00,,技术部,中,待处理,需求变更,user_1017,agent_2009,工单标题72,这是工单72的详细描述内容,,
TKT202401010072,2024-01-28 00:00:00,,技术部,低,待处理,系统故障,user_1074,agent_2010,工单标题73,这是工单73的详细描述内容,,4.0
TKT202401010073,2024-06-23 00:00:00,2024-06-23 23:00:00,运维部,低,待处理,功能异常,user_1052,agent_2016,工单标题74,这是工单74的详细描述内容,1380.0,
TKT202401010074,2024-11-18 00:00:00,,人力资源,中,待处理,数据错误,user_1016,agent_2018,工单标题75,这是工单75的详细描述内容,,5.0
TKT202401010075,2024-11-01 00:00:00,2024-11-02 04:00:00,财务部,低,已关闭,权限问题,user_1076,agent_2014,工单标题76,这是工单76的详细描述内容,1680.0,
TKT202401010076,2024-11-13 00:00:00,2024-11-13 07:00:00,市场部,紧急,处理中,数据错误,user_1034,agent_2003,工单标题77,这是工单77的详细描述内容,420.0,
TKT202401010077,2024-03-29 00:00:00,,客服部,低,已关闭,其他,user_1061,agent_2010,工单标题78,这是工单78的详细描述内容,,
TKT202401010078,2024-05-27 00:00:00,2024-05-28 12:00:00,财务部,紧急,处理中,权限问题,user_1081,agent_2019,工单标题79,这是工单79的详细描述内容,2160.0,2.0
TKT202401010079,2024-08-05 00:00:00,2024-08-05 14:00:00,市场部,高,已解决,性能问题,user_1010,agent_2002,工单标题80,这是工单80的详细描述内容,840.0,
TKT202401010080,2024-06-06 00:00:00,2024-06-09 00:00:00,财务部,紧急,已关闭,权限问题,user_1090,agent_2013,工单标题81,这是工单81的详细描述内容,4320.0,5.0
TKT202401010081,2024-10-03 00:00:00,2024-10-05 15:00:00,人力资源,紧急,已关闭,咨询,user_1078,agent_2009,工单标题82,这是工单82的详细描述内容,3780.0,
TKT202401010082,2024-04-27 00:00:00,2024-04-27 02:00:00,市场部,中,待回访,系统故障,user_1098,agent_2006,工单标题83,这是工单83的详细描述内容,120.0,4.0
TKT202401010083,2024-05-22 00:00:00,2024-05-22 23:00:00,财务部,低,待处理,投诉,user_1045,agent_2014,工单标题84,这是工单84的详细描述内容,1380.0,
TKT202401010084,2024-12-09 00:00:00,2024-12-09 13:00:00,运维部,低,已关闭,权限问题,user_1085,agent_2013,工单标题85,这是工单85的详细描述内容,780.0,5.0
TKT202401010085,2024-01-19 00:00:00,,运维部,中,待处理,建议,user_1066,agent_2001,工单标题86,这是工单86的详细描述内容,,5.0
TKT202401010086,2024-08-24 00:00:00,,人力资源,中,待回访,投诉,user_1081,agent_2015,工单标题87,这是工单87的详细描述内容,,2.0
TKT202401010087,2024-05-16 00:00:00,,运维部,低,已关闭,功能异常,user_1004,agent_2020,工单标题88,这是工单88的详细描述内容,,2.0
TKT202401010088,2024-06-08 00:00:00,,财务部,紧急,处理中,功能异常,user_1060,agent_2004,工单标题89,这是工单89的详细描述内容,,2.0
TKT202401010089,2024-09-12 00:00:00,2024-09-13 13:00:00,运维部,低,已关闭,投诉,user_1032,agent_2015,工单标题90,这是工单90的详细描述内容,2220.0,4.0
TKT202401010090,2024-04-07 00:00:00,2024-04-09 17:00:00,技术部,紧急,已解决,建议,user_1044,agent_2017,工单标题91,这是工单91的详细描述内容,3900.0,
TKT202401010091,2024-01-02 00:00:00,2024-01-03 12:00:00,人力资源,低,处理中,投诉,user_1069,agent_2016,工单标题92,这是工单92的详细描述内容,2160.0,
TKT202401010092,2024-10-09 00:00:00,2024-10-11 21:00:00,运维部,高,处理中,其他,user_1050,agent_2008,工单标题93,这是工单93的详细描述内容,4140.0,4.0
TKT202401010093,2024-01-23 00:00:00,2024-01-24 16:00:00,市场部,低,已关闭,性能问题,user_1064,agent_2002,工单标题94,这是工单94的详细描述内容,2400.0,
TKT202401010094,2024-10-29 00:00:00,2024-10-30 18:00:00,财务部,紧急,待回访,投诉,user_1002,agent_2005,工单标题95,这是工单95的详细描述内容,2520.0,2.0
TKT202401010095,2024-02-08 00:00:00,2024-02-10 12:00:00,运维部,中,待回访,建议,user_1084,agent_2003,工单标题96,这是工单96的详细描述内容,3600.0,5.0
TKT202401010096,2024-07-13 00:00:00,2024-07-14 16:00:00,财务部,紧急,待回访,功能异常,user_1031,agent_2010,工单标题97,这是工单97的详细描述内容,2400.0,1.0
TKT202401010097,2024-08-10 00:00:00,2024-08-10 12:00:00,市场部,紧急,已关闭,性能问题,user_1089,agent_2010,工单标题98,这是工单98的详细描述内容,720.0,1.0
TKT202401010098,2024-06-15 00:00:00,,运维部,低,处理中,数据错误,user_1068,agent_2014,工单标题99,这是工单99的详细描述内容,,2.0
TKT202401010099,2024-03-28 00:00:00,,财务部,高,已关闭,其他,user_1019,agent_2008,工单标题100,这是工单100的详细描述内容,,3.0
TKT202401010100,2024-08-23 00:00:00,2024-08-24 08:00:00,财务部,中,待回访,性能问题,user_1010,agent_2015,工单标题101,这是工单101的详细描述内容,1920.0,5.0
TKT202401010101,2024-06-02 00:00:00,2024-06-04 06:00:00,财务部,中,处理中,建议,user_1062,agent_2004,工单标题102,这是工单102的详细描述内容,3240.0,
TKT202401010102,2024-10-19 00:00:00,2024-10-20 21:00:00,市场部,中,待处理,建议,user_1036,agent_2001,工单标题103,这是工单103的详细描述内容,2700.0,1.0
TKT202401010103,2024-11-06 00:00:00,2024-11-08 15:00:00,运维部,高,待回访,咨询,user_1029,agent_2007,工单标题104,这是工单104的详细描述内容,3780.0,2.0
TKT202401010104,2024-11-17 00:00:00,2024-11-17 12:00:00,市场部,紧急,已解决,投诉,user_1005,agent_2019,工单标题105,这是工单105的详细描述内容,720.0,
TKT202401010105,2024-03-08 00:00:00,2024-03-08 11:00:00,运维部,低,处理中,数据错误,user_1017,agent_2018,工单标题106,这是工单106的详细描述内容,660.0,3.0
TKT202401010106,2024-09-28 00:00:00,2024-09-30 16:00:00,技术部,中,已关闭,权限问题,user_1096,agent_2011,工单标题107,这是工单107的详细描述内容,3840.0,4.0
TKT202401010107,2024-02-08 00:00:00,2024-02-08 18:00:00,技术部,低,待回访,咨询,user_1012,agent_2013,工单标题108,这是工单108的详细描述内容,1080.0,
TKT202401010108,2024-10-01 00:00:00,2024-10-01 15:00:00,市场部,中,待回访,建议,user_1082,agent_2012,工单标题109,这是工单109的详细描述内容,900.0,
TKT202401010109,2024-04-29 00:00:00,,人力资源,中,待回访,数据错误,user_1083,agent_2003,工单标题110,这是工单110的详细描述内容,,4.0
TKT202401010110,2024-12-24 00:00:00,2024-12-25 14:00:00,客服部,高,待处理,系统故障,user_1039,agent_2016,工单标题111,这是工单111的详细描述内容,2280.0,
TKT202401010111,2024-04-30 00:00:00,,财务部,中,待回访,建议,user_1076,agent_2005,工单标题112,这是工单112的详细描述内容,,1.0
TKT202401010112,2024-09-07 00:00:00,2024-09-09 04:00:00,运维部,紧急,已解决,数据错误,user_1057,agent_2015,工单标题113,这是工单113的详细描述内容,3120.0,3.0
TKT202401010113,2024-02-20 00:00:00,2024-02-21 23:00:00,市场部,中,待处理,建议,user_1036,agent_2007,工单标题114,这是工单114的详细描述内容,2820.0,4.0
TKT202401010114,2024-02-16 00:00:00,2024-02-17 03:00:00,人力资源,紧急,待处理,咨询,user_1032,agent_2005,工单标题115,这是工单115的详细描述内容,1620.0,2.0
TKT202401010115,2024-02-05 00:00:00,,技术部,高,已解决,性能问题,user_1077,agent_2001,工单标题116,这是工单116的详细描述内容,,
TKT202401010116,2024-03-15 00:00:00,2024-03-15 16:00:00,技术部,紧急,待处理,性能问题,user_1002,agent_2012,工单标题117,这是工单117的详细描述内容,960.0,2.0
TKT202401010117,2024-10-28 00:00:00,,运维部,紧急,处理中,建议,user_1068,agent_2004,工单标题118,这是工单118的详细描述内容,,4.0
TKT202401010118,2024-08-17 00:00:00,2024-08-18 22:00:00,客服部,低,待回访,数据错误,user_1079,agent_2002,工单标题119,这是工单119的详细描述内容,2760.0,5.0
TKT202401010119,2024-06-03 00:00:00,2024-06-05 10:00:00,客服部,紧急,已关闭,建议,user_1055,agent_2004,工单标题120,这是工单120的详细描述内容,3480.0,4.0
TKT202401010120,2024-02-07 00:00:00,2024-02-07 10:00:00,技术部,紧急,处理中,权限问题,user_1080,agent_2019,工单标题121,这是工单121的详细描述内容,600.0,3.0
TKT202401010121,2024-07-14 00:00:00,,人力资源,低,待处理,功能异常,user_1084,agent_2018,工单标题122,这是工单122的详细描述内容,,2.0
TKT202401010122,2024-08-08 00:00:00,2024-08-10 09:00:00,财务部,中,已关闭,建议,user_1054,agent_2004,工单标题123,这是工单123的详细描述内容,3420.0,
TKT202401010123,2024-06-09 00:00:00,2024-06-10 08:00:00,技术部,低,待处理,功能异常,user_1011,agent_2003,工单标题124,这是工单124的详细描述内容,1920.0,3.0
TKT202401010124,2024-03-07 00:00:00,,人力资源,中,待处理,建议,user_1046,agent_2014,工单标题125,这是工单125的详细描述内容,,1.0
TKT202401010125,2024-05-27 00:00:00,2024-05-28 15:00:00,人力资源,高,处理中,投诉,user_1029,agent_2004,工单标题126,这是工单126的详细描述内容,2340.0,
TKT202401010126,2024-10-11 00:00:00,,运维部,高,已关闭,需求变更,user_1099,agent_2020,工单标题127,这是工单127的详细描述内容,,5.0
TKT202401010127,2024-01-14 00:00:00,,运维部,中,已解决,咨询,user_1001,agent_2006,工单标题128,这是工单128的详细描述内容,,5.0
TKT202401010128,2024-12-02 00:00:00,,市场部,紧急,待处理,需求变更,user_1028,agent_2013,工单标题129,这是工单129的详细描述内容,,3.0
TKT202401010129,2024-03-21 00:00:00,2024-03-22 23:00:00,运维部,紧急,待处理,性能问题,user_1021,agent_2020,工单标题130,这是工单130的详细描述内容,2820.0,
TKT202401010130,2024-02-11 00:00:00,2024-02-12 10:00:00,财务部,低,待回访,投诉,user_1054,agent_2009,工单标题131,这是工单131的详细描述内容,2040.0,
TKT202401010131,2024-09-19 00:00:00,2024-09-19 14:00:00,客服部,中,待回访,投诉,user_1068,agent_2010,工单标题132,这是工单132的详细描述内容,840.0,
TKT202401010132,2024-07-21 00:00:00,,运维部,高,处理中,权限问题,user_1038,agent_2011,工单标题133,这是工单133的详细描述内容,,
TKT202401010133,2024-09-11 00:00:00,,财务部,高,待回访,需求变更,user_1086,agent_2012,工单标题134,这是工单134的详细描述内容,,
TKT202401010134,2024-01-22 00:00:00,,客服部,中,待回访,建议,user_1074,agent_2013,工单标题135,这是工单135的详细描述内容,,4.0
TKT202401010135,2024-05-28 00:00:00,2024-05-28 14:00:00,运维部,高,待回访,投诉,user_1089,agent_2012,工单标题136,这是工单136的详细描述内容,840.0,
TKT202401010136,2024-02-24 00:00:00,2024-02-25 07:00:00,财务部,紧急,已关闭,权限问题,user_1096,agent_2011,工单标题137,这是工单137的详细描述内容,1860.0,
TKT202401010137,2024-03-27 00:00:00,2024-03-27 09:00:00,客服部,高,已解决,咨询,user_1094,agent_2005,工单标题138,这是工单138的详细描述内容,540.0,
TKT202401010138,2024-03-15 00:00:00,,人力资源,高,待处理,性能问题,user_1099,agent_2016,工单标题139,这是工单139的详细描述内容,,5.0
TKT202401010139,2024-10-23 00:00:00,2024-10-25 09:00:00,人力资源,中,已解决,性能问题,user_1057,agent_2003,工单标题140,这是工单140的详细描述内容,3420.0,3.0
TKT202401010140,2024-05-20 00:00:00,2024-05-20 07:00:00,客服部,中,已关闭,投诉,user_1005,agent_2002,工单标题141,这是工单141的详细描述内容,420.0,
TKT202401010141,2024-05-26 00:00:00,2024-05-26 09:00:00,客服部,低,已关闭,其他,user_1071,agent_2002,工单标题142,这是工单142的详细描述内容,540.0,5.0
TKT202401010142,2024-11-29 00:00:00,2024-11-30 00:00:00,财务部,高,待处理,投诉,user_1014,agent_2011,工单标题143,这是工单143的详细描述内容,1440.0,1.0
TKT202401010143,2024-09-15 00:00:00,,市场部,低,已关闭,需求变更,user_1067,agent_2020,工单标题144,这是工单144的详细描述内容,,
TKT202401010144,2024-07-09 00:00:00,2024-07-10 12:00:00,运维部,紧急,已解决,功能异常,user_1043,agent_2004,工单标题145,这是工单145的详细描述内容,2160.0,4.0
TKT202401010145,2024-05-25 00:00:00,2024-05-26 08:00:00,市场部,高,已解决,功能异常,user_1075,agent_2005,工单标题146,这是工单146的详细描述内容,1920.0,3.0
TKT202401010146,2024-12-01 00:00:00,,市场部,紧急,已解决,需求变更,user_1049,agent_2011,工单标题147,这是工单147的详细描述内容,,5.0
TKT202401010147,2024-02-17 00:00:00,2024-02-19 06:00:00,客服部,中,已解决,性能问题,user_1028,agent_2011,工单标题148,这是工单148的详细描述内容,3240.0,4.0
TKT202401010148,2024-04-08 00:00:00,2024-04-09 04:00:00,技术部,紧急,已解决,功能异常,user_1065,agent_2018,工单标题149,这是工单149的详细描述内容,1680.0,5.0
TKT202401010149,2024-01-20 00:00:00,2024-01-21 19:00:00,人力资源,高,待回访,建议,user_1020,agent_2006,工单标题150,这是工单150的详细描述内容,2580.0,
TKT202401010150,2024-12-20 00:00:00,2024-12-20 21:00:00,客服部,低,已解决,数据错误,user_1057,agent_2020,工单标题151,这是工单151的详细描述内容,1260.0,
TKT202401010151,2024-08-17 00:00:00,2024-08-18 05:00:00,运维部,低,处理中,咨询,user_1087,agent_2019,工单标题152,这是工单152的详细描述内容,1740.0,4.0
TKT202401010152,2024-05-24 00:00:00,2024-05-26 00:00:00,财务部,高,处理中,其他,user_1018,agent_2009,工单标题153,这是工单153的详细描述内容,2880.0,
TKT202401010153,2024-09-03 00:00:00,2024-09-04 23:00:00,客服部,紧急,已解决,功能异常,user_1098,agent_2006,工单标题154,这是工单154的详细描述内容,2820.0,
TKT202401010154,2024-09-19 00:00:00,2024-09-19 18:00:00,客服部,高,已关闭,咨询,user_1004,agent_2014,工单标题155,这是工单155的详细描述内容,1080.0,
TKT202401010155,2024-09-14 00:00:00,,客服部,中,处理中,系统故障,user_1041,agent_2004,工单标题156,这是工单156的详细描述内容,,3.0
TKT202401010156,2024-03-15 00:00:00,,财务部,高,已关闭,投诉,user_1079,agent_2001,工单标题157,这是工单157的详细描述内容,,1.0
TKT202401010157,2024-05-11 00:00:00,2024-05-12 03:00:00,人力资源,低,待处理,权限问题,user_1031,agent_2010,工单标题158,这是工单158的详细描述内容,1620.0,
TKT202401010158,2024-05-02 00:00:00,2024-05-04 05:00:00,人力资源,低,待处理,功能异常,user_1064,agent_2020,工单标题159,这是工单159的详细描述内容,3180.0,5.0
TKT202401010159,2024-10-21 00:00:00,2024-10-22 06:00:00,运维部,低,待处理,其他,user_1046,agent_2008,工单标题160,这是工单160的详细描述内容,1800.0,2.0
TKT202401010160,2024-12-06 00:00:00,2024-12-06 10:00:00,运维部,紧急,待回访,需求变更,user_1065,agent_2017,工单标题161,这是工单161的详细描述内容,600.0,4.0
TKT202401010161,2024-08-28 00:00:00,2024-08-28 05:00:00,运维部,中,待处理,咨询,user_1009,agent_2012,工单标题162,这是工单162的详细描述内容,300.0,
TKT202401010162,2024-12-02 00:00:00,2024-12-02 13:00:00,市场部,中,处理中,系统故障,user_1046,agent_2018,工单标题163,这是工单163的详细描述内容,780.0,
TKT202401010163,2024-11-25 00:00:00,2024-11-25 22:00:00,市场部,低,已关闭,性能问题,user_1018,agent_2003,工单标题164,这是工单164的详细描述内容,1320.0,4.0
TKT202401010164,2024-01-19 00:00:00,,技术部,紧急,已解决,权限问题,user_1066,agent_2013,工单标题165,这是工单165的详细描述内容,,5.0
TKT202401010165,2024-08-30 00:00:00,,市场部,高,已解决,咨询,user_1100,agent_2002,工单标题166,这是工单166的详细描述内容,,3.0
TKT202401010166,2024-05-19 00:00:00,2024-05-19 15:00:00,财务部,低,已关闭,建议,user_1044,agent_2006,工单标题167,这是工单167的详细描述内容,900.0,4.0
TKT202401010167,2024-07-07 00:00:00,,客服部,低,待处理,建议,user_1078,agent_2006,工单标题168,这是工单168的详细描述内容,,3.0
TKT202401010168,2024-02-22 00:00:00,2024-02-22 10:00:00,运维部,中,已关闭,其他,user_1092,agent_2014,工单标题169,这是工单169的详细描述内容,600.0,
