task_id,project_id,task_name,status,priority,assignee,start_date,due_date,progress,estimated_hours,actual_hours
TASK0006003,PRJ0006,任务3: 部署上线,阻塞,低,dev_5019,2024-09-20,2024-04-17,40,157,99
TASK0006004,PRJ0006,任务4: 需求分析,待开始,高,dev_5005,2024-10-09,2024-12-03,87,47,1
TASK0006005,PRJ0006,任务5: 部署上线,阻塞,高,dev_5025,2024-11-19,2024-04-20,67,149,31
TASK0006006,PRJ0006,任务6: 部署上线,进行中,低,dev_5044,2024-10-24,2024-11-19,82,45,122
TASK0006007,PRJ0006,任务7: 需求分析,取消,高,dev_5033,2024-10-30,2024-10-21,28,151,27
TASK0006008,PRJ0006,任务8: 部署上线,取消,中,dev_5039,2024-03-06,2024-02-19,52,93,0
TASK0006009,PRJ0006,任务9: 需求分析,取消,高,dev_5030,2024-07-04,2024-08-21,53,10,26
TASK0006010,PRJ0006,任务10: 部署上线,待开始,低,dev_5028,2024-12-30,2024-08-13,87,89,32
TASK0006011,PRJ0006,任务11: 设计评审,阻塞,高,dev_5020,2024-11-01,2024-02-14,42,40,132
TASK0006012,PRJ0006,任务12: 部署上线,进行中,高,dev_5033,2024-02-24,2024-07-25,55,94,20
TASK0006013,PRJ0006,任务13: 测试验证,阻塞,高,dev_5005,2024-04-15,2024-02-12,78,125,74
TASK0006014,PRJ0006,任务14: 部署上线,进行中,高,dev_5016,2024-06-15,2024-03-11,91,133,109
TASK0006015,PRJ0006,任务15: 设计评审,已完成,中,dev_5040,2024-05-06,2024-09-08,54,102,16
TASK0006016,PRJ0006,任务16: 需求分析,取消,高,dev_5021,2024-08-11,2024-08-05,80,94,28
TASK0006017,PRJ0006,任务17: 测试验证,进行中,低,dev_5008,2024-08-21,2024-03-27,60,32,84
TASK0006018,PRJ0006,任务18: 开发实现,取消,低,dev_5013,2024-07-30,2024-03-29,68,31,49
TASK0006019,PRJ0006,任务19: 开发实现,待开始,高,dev_5022,2024-01-13,2024-04-06,25,80,102
TASK0006020,PRJ0006,任务20: 需求分析,阻塞,中,dev_5038,2024-07-31,2024-11-20,64,120,83
TASK0006021,PRJ0006,任务21: 测试验证,已完成,低,dev_5048,2024-05-31,2024-08-07,89,88,77
TASK0006022,PRJ0006,任务22: 文档编写,已完成,低,dev_5010,2024-02-28,2024-09-20,62,63,157
TASK0006023,PRJ0006,任务23: 部署上线,进行中,高,dev_5049,2024-03-06,2024-06-17,41,138,139
TASK0006024,PRJ0006,任务24: 测试验证,阻塞,中,dev_5003,2024-06-28,2024-01-30,27,24,87
TASK0006025,PRJ0006,任务25: 需求分析,进行中,中,dev_5049,2024-12-06,2024-07-13,47,21,139
TASK0006026,PRJ0006,任务26: 文档编写,阻塞,中,dev_5045,2024-08-02,2024-11-13,72,117,56
TASK0006027,PRJ0006,任务27: 部署上线,阻塞,中,dev_5019,2024-09-02,2024-09-08,10,66,78
TASK0006028,PRJ0006,任务28: 需求分析,进行中,中,dev_5048,2024-05-02,2024-11-24,66,71,67
TASK0007001,PRJ0007,任务1: 需求分析,阻塞,中,dev_5050,2024-08-22,2024-03-10,78,122,107
TASK0007002,PRJ0007,任务2: 测试验证,已完成,中,dev_5049,2024-03-21,2024-12-31,98,18,107
TASK0007003,PRJ0007,任务3: 测试验证,待开始,高,dev_5039,2024-04-29,2024-04-19,48,120,124
TASK0007004,PRJ0007,任务4: 测试验证,已完成,中,dev_5007,2024-01-18,2024-12-16,71,72,51
TASK0007005,PRJ0007,任务5: 部署上线,阻塞,高,dev_5048,2024-02-27,2024-09-23,23,22,3
TASK0007006,PRJ0007,任务6: 设计评审,已完成,高,dev_5040,2024-05-05,2024-06-20,94,138,46
TASK0007007,PRJ0007,任务7: 测试验证,待开始,中,dev_5013,2024-12-17,2024-03-10,6,62,20
TASK0008001,PRJ0008,任务1: 需求分析,阻塞,中,dev_5026,2024-05-24,2024-08-11,89,100,24
TASK0008002,PRJ0008,任务2: 部署上线,已完成,中,dev_5033,2024-09-17,2024-09-12,91,127,134
TASK0008003,PRJ0008,任务3: 部署上线,取消,中,dev_5023,2024-09-13,2024-11-16,90,133,158
TASK0008004,PRJ0008,任务4: 文档编写,已完成,中,dev_5045,2024-10-24,2024-09-01,10,33,74
TASK0008005,PRJ0008,任务5: 部署上线,待开始,中,dev_5039,2024-05-30,2024-08-01,8,21,96
TASK0008006,PRJ0008,任务6: 部署上线,进行中,高,dev_5041,2024-10-19,2024-06-30,12,13,137
TASK0008007,PRJ0008,任务7: 文档编写,进行中,高,dev_5049,2024-09-09,2024-12-09,66,109,100
TASK0008008,PRJ0008,任务8: 部署上线,阻塞,低,dev_5043,2024-11-06,2024-10-19,67,85,37
TASK0008009,PRJ0008,任务9: 需求分析,待开始,高,dev_5012,2024-07-16,2024-06-18,7,66,12
TASK0008010,PRJ0008,任务10: 开发实现,进行中,中,dev_5007,2024-02-19,2024-05-19,96,51,10
TASK0008011,PRJ0008,任务11: 文档编写,阻塞,中,dev_5024,2024-02-18,2024-04-24,27,94,45
TASK0008012,PRJ0008,任务12: 部署上线,已完成,低,dev_5024,2024-08-31,2024-08-11,6,71,145
TASK0008013,PRJ0008,任务13: 测试验证,待开始,高,dev_5035,2024-05-18,2024-11-19,87,153,42
TASK0008014,PRJ0008,任务14: 文档编写,取消,中,dev_5004,2024-06-03,2024-06-11,26,141,108
TASK0008015,PRJ0008,任务15: 部署上线,阻塞,中,dev_5005,2024-03-14,2024-12-21,96,153,114
TASK0008016,PRJ0008,任务16: 测试验证,阻塞,中,dev_5010,2024-02-28,2024-11-21,25,93,76
TASK0008017,PRJ0008,任务17: 文档编写,已完成,中,dev_5049,2024-02-04,2024-05-23,92,66,30
TASK0008018,PRJ0008,任务18: 开发实现,进行中,低,dev_5033,2024-11-16,2024-04-07,87,85,142
TASK0008019,PRJ0008,任务19: 文档编写,取消,低,dev_5046,2024-07-04,2024-05-05,8,53,12
TASK0008020,PRJ0008,任务20: 需求分析,取消,中,dev_5037,2024-01-22,2024-06-08,6,15,44
TASK0008021,PRJ0008,任务21: 开发实现,待开始,低,dev_5029,2024-01-17,2024-04-20,51,72,46
TASK0008022,PRJ0008,任务22: 设计评审,阻塞,低,dev_5016,2024-04-21,2024-02-09,26,84,38
TASK0008023,PRJ0008,任务23: 开发实现,待开始,中,dev_5041,2024-08-13,2024-03-04,65,154,123
TASK0008024,PRJ0008,任务24: 测试验证,进行中,高,dev_5049,2024-09-02,2024-08-28,77,83,36
TASK0008025,PRJ0008,任务25: 文档编写,取消,高,dev_5007,2024-01-18,2024-02-23,63,42,126
TASK0008026,PRJ0008,任务26: 开发实现,取消,高,dev_5006,2024-12-28,2024-06-23,11,130,86
TASK0009001,PRJ0009,任务1: 文档编写,阻塞,低,dev_5037,2024-08-03,2024-04-30,10,65,36
TASK0009002,PRJ0009,任务2: 开发实现,待开始,低,dev_5047,2024-05-20,2024-10-27,49,28,159
TASK0009003,PRJ0009,任务3: 测试验证,已完成,高,dev_5040,2024-07-21,2024-07-19,21,131,23
TASK0009004,PRJ0009,任务4: 开发实现,已完成,中,dev_5004,2024-08-05,2024-06-11,88,144,110
TASK0009005,PRJ0009,任务5: 部署上线,阻塞,高,dev_5050,2024-04-19,2024-08-14,65,103,114
TASK0010001,PRJ0010,任务1: 需求分析,阻塞,高,dev_5012,2024-02-03,2024-10-21,75,154,49
TASK0010002,PRJ0010,任务2: 文档编写,取消,高,dev_5032,2024-07-13,2024-09-01,0,133,2
TASK0010003,PRJ0010,任务3: 需求分析,进行中,高,dev_5042,2024-08-12,2024-10-22,54,49,70
TASK0010004,PRJ0010,任务4: 开发实现,已完成,高,dev_5029,2024-09-15,2024-05-28,25,8,2
TASK0010005,PRJ0010,任务5: 设计评审,取消,低,dev_5032,2024-09-13,2024-11-22,96,18,107
TASK0010006,PRJ0010,任务6: 开发实现,阻塞,中,dev_5037,2024-06-06,2024-11-01,11,146,106
TASK0010007,PRJ0010,任务7: 部署上线,已完成,低,dev_5042,2024-09-18,2024-09-06,89,77,154
TASK0010008,PRJ0010,任务8: 文档编写,进行中,低,dev_5012,2024-01-04,2024-04-17,92,156,36
TASK0010009,PRJ0010,任务9: 设计评审,阻塞,低,dev_5026,2024-09-13,2024-08-29,3,60,120
TASK0010010,PRJ0010,任务10: 开发实现,已完成,低,dev_5032,2024-09-29,2024-07-07,100,81,83
TASK0010011,PRJ0010,任务11: 测试验证,阻塞,中,dev_5014,2024-01-03,2024-10-23,18,74,107
TASK0010012,PRJ0010,任务12: 开发实现,进行中,高,dev_5033,2024-02-27,2024-04-23,16,46,44
TASK0010013,PRJ0010,任务13: 开发实现,阻塞,中,dev_5002,2024-05-12,2024-02-08,17,49,107
TASK0010014,PRJ0010,任务14: 测试验证,已完成,高,dev_5045,2024-07-10,2024-01-02,73,79,80
TASK0010015,PRJ0010,任务15: 开发实现,阻塞,高,dev_5007,2024-05-26,2024-10-18,19,116,108
TASK0010016,PRJ0010,任务16: 设计评审,进行中,低,dev_5017,2024-09-08,2024-08-12,54,8,51
TASK0010017,PRJ0010,任务17: 部署上线,进行中,低,dev_5033,2024-01-31,2024-09-03,8,23,12
TASK0010018,PRJ0010,任务18: 设计评审,已完成,中,dev_5034,2024-09-27,2024-12-12,97,117,69
TASK0010019,PRJ0010,任务19: 需求分析,阻塞,低,dev_5038,2024-05-02,2024-11-02,77,107,156
TASK0011001,PRJ0011,任务1: 部署上线,进行中,低,dev_5049,2024-11-23,2024-04-24,96,59,62
TASK0011002,PRJ0011,任务2: 部署上线,进行中,低,dev_5013,2024-09-26,2024-08-16,54,149,131
TASK0011003,PRJ0011,任务3: 设计评审,取消,低,dev_5026,2024-09-24,2024-10-24,67,46,88
TASK0011004,PRJ0011,任务4: 部署上线,待开始,中,dev_5014,2024-10-12,2024-08-10,68,34,96
TASK0011005,PRJ0011,任务5: 开发实现,进行中,低,dev_5010,2024-05-07,2024-06-19,4,133,154
TASK0011006,PRJ0011,任务6: 文档编写,取消,高,dev_5031,2024-10-05,2024-09-08,29,100,34
TASK0011007,PRJ0011,任务7: 需求分析,取消,低,dev_5034,2024-01-13,2024-07-11,66,73,152
TASK0011008,PRJ0011,任务8: 测试验证,待开始,低,dev_5013,2024-04-16,2024-05-28,22,160,157
TASK0011009,PRJ0011,任务9: 文档编写,已完成,高,dev_5035,2024-07-21,2024-08-25,19,47,104
TASK0011010,PRJ0011,任务10: 文档编写,阻塞,高,dev_5035,2024-02-15,2024-01-29,57,111,112
TASK0011011,PRJ0011,任务11: 测试验证,阻塞,低,dev_5027,2024-08-14,2024-12-09,91,66,154
TASK0011012,PRJ0011,任务12: 测试验证,待开始,低,dev_5005,2024-11-07,2024-01-24,45,155,112
TASK0011013,PRJ0011,任务13: 开发实现,阻塞,低,dev_5037,2024-10-18,2024-04-26,27,16,92
TASK0011014,PRJ0011,任务14: 设计评审,阻塞,中,dev_5003,2024-12-08,2024-08-05,20,73,35
TASK0011015,PRJ0011,任务15: 测试验证,待开始,高,dev_5046,2024-04-30,2024-05-03,19,79,142
TASK0011016,PRJ0011,任务16: 文档编写,阻塞,中,dev_5013,2024-07-18,2024-06-28,13,143,137
TASK0011017,PRJ0011,任务17: 开发实现,取消,高,dev_5040,2024-10-01,2024-07-28,96,108,20
TASK0011018,PRJ0011,任务18: 设计评审,进行中,低,dev_5020,2024-01-11,2024-07-23,30,101,120
TASK0011019,PRJ0011,任务19: 设计评审,已完成,中,dev_5026,2024-04-14,2024-11-02,70,97,121
TASK0011020,PRJ0011,任务20: 设计评审,阻塞,低,dev_5045,2024-09-24,2024-06-14,4,10,119
TASK0012001,PRJ0012,任务1: 部署上线,已完成,高,dev_5033,2024-11-27,2024-12-30,88,98,134
TASK0012002,PRJ0012,任务2: 需求分析,待开始,低,dev_5040,2024-10-28,2024-09-18,54,119,145
TASK0012003,PRJ0012,任务3: 设计评审,已完成,低,dev_5021,2024-12-19,2024-01-09,41,24,68
TASK0012004,PRJ0012,任务4: 部署上线,待开始,中,dev_5033,2024-08-27,2024-04-24,44,132,95
TASK0012005,PRJ0012,任务5: 开发实现,进行中,中,dev_5021,2024-04-30,2024-07-14,37,152,100
TASK0012006,PRJ0012,任务6: 需求分析,待开始,中,dev_5032,2024-10-20,2024-11-05,81,121,116
TASK0012007,PRJ0012,任务7: 设计评审,进行中,高,dev_5010,2024-12-23,2024-08-07,39,104,21
TASK0012008,PRJ0012,任务8: 开发实现,进行中,高,dev_5003,2024-01-06,2024-03-16,63,10,34
TASK0012009,PRJ0012,任务9: 测试验证,已完成,低,dev_5004,2024-08-31,2024-08-02,78,128,111
TASK0013001,PRJ0013,任务1: 部署上线,进行中,低,dev_5045,2024-01-20,2024-06-12,13,72,91
TASK0013002,PRJ0013,任务2: 设计评审,取消,中,dev_5042,2024-10-31,2024-12-12,1,37,111
TASK0013003,PRJ0013,任务3: 部署上线,待开始,高,dev_5049,2024-01-20,2024-09-11,43,9,13
TASK0013004,PRJ0013,任务4: 需求分析,阻塞,低,dev_5050,2024-11-12,2024-12-16,10,97,93
TASK0013005,PRJ0013,任务5: 部署上线,已完成,低,dev_5015,2024-10-26,2024-12-04,20,44,66
TASK0013006,PRJ0013,任务6: 开发实现,已完成,中,dev_5028,2024-06-22,2024-04-03,27,54,32
TASK0013007,PRJ0013,任务7: 需求分析,已完成,低,dev_5035,2024-11-10,2024-06-07,35,29,48
TASK0013008,PRJ0013,任务8: 部署上线,取消,低,dev_5024,2024-12-01,2024-02-13,57,110,144
TASK0013009,PRJ0013,任务9: 部署上线,进行中,高,dev_5004,2024-05-02,2024-10-09,10,89,111
TASK0013010,PRJ0013,任务10: 部署上线,已完成,低,dev_5003,2024-09-03,2024-01-07,44,119,153
TASK0013011,PRJ0013,任务11: 开发实现,待开始,高,dev_5028,2024-04-16,2024-07-29,14,24,35
TASK0013012,PRJ0013,任务12: 部署上线,阻塞,中,dev_5003,2024-12-26,2024-09-14,82,36,16
TASK0013013,PRJ0013,任务13: 测试验证,进行中,高,dev_5044,2024-07-11,2024-10-22,76,66,135
TASK0013014,PRJ0013,任务14: 设计评审,待开始,中,dev_5021,2024-03-08,2024-10-06,56,140,149
TASK0013015,PRJ0013,任务15: 部署上线,取消,低,dev_5026,2024-03-10,2024-09-15,73,68,1
TASK0013016,PRJ0013,任务16: 文档编写,进行中,低,dev_5019,2024-01-29,2024-07-03,18,27,128
TASK0013017,PRJ0013,任务17: 开发实现,待开始,中,dev_5025,2024-01-27,2024-10-13,24,35,146
TASK0013018,PRJ0013,任务18: 需求分析,进行中,低,dev_5027,2024-01-28,2024-05-14,89,147,90
TASK0013019,PRJ0013,任务19: 文档编写,取消,低,dev_5027,2024-06-15,2024-05-14,78,149,17
TASK0013020,PRJ0013,任务20: 部署上线,已完成,中,dev_5001,2024-10-31,2024-05-03,69,117,90
TASK0013021,PRJ0013,任务21: 开发实现,阻塞,高,dev_5040,2024-04-05,2024-09-12,82,21,95
TASK0013022,PRJ0013,任务22: 开发实现,取消,中,dev_5020,2024-09-28,2024-08-29,4,94,102
TASK0013023,PRJ0013,任务23: 测试验证,进行中,高,dev_5002,2024-01-25,2024-07-09,50,9,149
TASK0013024,PRJ0013,任务24: 文档编写,已完成,中,dev_5041,2024-07-19,2024-02-25,46,10,24
TASK0013025,PRJ0013,任务25: 设计评审,进行中,中,dev_5004,2024-08-01,2024-07-21,80,103,96
TASK0013026,PRJ0013,任务26: 测试验证,待开始,中,dev_5002,2024-06-27,2024-11-12,2,138,92
TASK0013027,PRJ0013,任务27: 文档编写,已完成,低,dev_5030,2024-08-07,2024-06-17,62,145,147
TASK0014001,PRJ0014,任务1: 测试验证,取消,低,dev_5016,2024-10-25,2024-02-19,77,86,124
TASK0014002,PRJ0014,任务2: 开发实现,进行中,中,dev_5010,2024-10-17,2024-10-30,5,56,83
TASK0014003,PRJ0014,任务3: 设计评审,待开始,低,dev_5050,2024-10-17,2024-07-17,2,159,31
TASK0014004,PRJ0014,任务4: 需求分析,进行中,中,dev_5028,2024-05-19,2024-09-11,9,86,47
TASK0014005,PRJ0014,任务5: 开发实现,进行中,高,dev_5006,2024-02-21,2024-02-08,80,156,12
TASK0014006,PRJ0014,任务6: 设计评审,阻塞,低,dev_5027,2024-12-10,2024-03-09,30,132,115
TASK0014007,PRJ0014,任务7: 设计评审,取消,高,dev_5015,2024-05-07,2024-01-04,78,145,62
TASK0014008,PRJ0014,任务8: 需求分析,已完成,中,dev_5011,2024-05-07,2024-09-08,68,11,53
TASK0014009,PRJ0014,任务9: 开发实现,阻塞,高,dev_5013,2024-04-02,2024-09-20,56,75,39
TASK0014010,PRJ0014,任务10: 开发实现,阻塞,中,dev_5026,2024-10-09,2024-07-20,52,144,8
TASK0014011,PRJ0014,任务11: 文档编写,已完成,低,dev_5003,2024-01-17,2024-01-26,91,100,142
TASK0015001,PRJ0015,任务1: 文档编写,已完成,低,dev_5049,2024-04-20,2024-10-05,14,91,120
TASK0015002,PRJ0015,任务2: 开发实现,待开始,高,dev_5021,2024-05-18,2024-04-23,87,147,85
TASK0015003,PRJ0015,任务3: 测试验证,取消,高,dev_5036,2024-11-21,2024-01-26,61,124,158
TASK0015004,PRJ0015,任务4: 文档编写,已完成,低,dev_5047,2024-02-24,2024-05-24,67,141,29
TASK0015005,PRJ0015,任务5: 开发实现,待开始,中,dev_5018,2024-08-06,2024-07-27,11,160,152
TASK0015006,PRJ0015,任务6: 开发实现,已完成,高,dev_5030,2024-02-17,2024-01-19,0,112,93
TASK0015007,PRJ0015,任务7: 测试验证,进行中,中,dev_5026,2024-08-07,2024-10-01,70,100,74
TASK0015008,PRJ0015,任务8: 开发实现,已完成,高,dev_5050,2024-11-20,2024-12-16,51,64,127
TASK0015009,PRJ0015,任务9: 测试验证,阻塞,中,dev_5024,2024-11-05,2024-11-13,45,19,43
TASK0015010,PRJ0015,任务10: 文档编写,进行中,中,dev_5019,2024-03-08,2024-04-29,71,34,109
TASK0015011,PRJ0015,任务11: 设计评审,进行中,中,dev_5028,2024-05-17,2024-09-18,39,35,134
TASK0015012,PRJ0015,任务12: 文档编写,阻塞,高,dev_5020,2024-07-16,2024-03-23,70,140,59
TASK0015013,PRJ0015,任务13: 测试验证,进行中,低,dev_5022,2024-10-02,2024-01-31,84,103,52
TASK0015014,PRJ0015,任务14: 设计评审,待开始,低,dev_5024,2024-02-12,2024-11-18,25,27,50
TASK0015015,PRJ0015,任务15: 开发实现,阻塞,高,dev_5007,2024-08-15,2024-01-03,20,132,129
TASK0015016,PRJ0015,任务16: 开发实现,阻塞,高,dev_5020,2024-06-06,2024-08-21,73,57,114
TASK0015017,PRJ0015,任务17: 设计评审,进行中,高,dev_5050,2024-11-13,2024-02-26,61,105,19
TASK0015018,PRJ0015,任务18: 部署上线,阻塞,低,dev_5011,2024-03-28,2024-06-26,66,147,87
TASK0015019,PRJ0015,任务19: 文档编写,取消,中,dev_5043,2024-04-10,2024-03-02,27,88,126
TASK0015020,PRJ0015,任务20: 开发实现,待开始,低,dev_5029,2024-06-06,2024-08-16,35,15,115
TASK0015021,PRJ0015,任务21: 设计评审,取消,中,dev_5010,2024-10-21,2024-11-17,53,34,124
TASK0015022,PRJ0015,任务22: 开发实现,阻塞,中,dev_5029,2024-09-05,2024-10-28,73,22,98
TASK0015023,PRJ0015,任务23: 需求分析,取消,高,dev_5048,2024-05-28,2024-05-14,19,92,31
TASK0016001,PRJ0016,任务1: 部署上线,待开始,低,dev_5021,2024-05-13,2024-06-19,40,27,149
TASK0016002,PRJ0016,任务2: 文档编写,进行中,中,dev_5007,2024-07-07,2024-03-07,65,118,60
TASK0016003,PRJ0016,任务3: 开发实现,取消,中,dev_5001,2024-02-04,2024-08-06,98,30,115
TASK0016004,PRJ0016,任务4: 需求分析,阻塞,中,dev_5039,2024-03-01,2024-06-04,39,91,54
