product_id,product_name,category_l1,category_l2,cost_price,launch_date,status
P0084,显示器 青春版,电子产品,电脑办公,693.2,2022-11-26,在售
P0085,显示器 Pro版,电子产品,电脑办公,1039.0,2022-06-23,在售
P0086,打印机 标准版,电子产品,电脑办公,1534.57,2022-08-29,在售
P0087,打印机 升级版,电子产品,电脑办公,534.2,2022-09-08,下架
P0088,打印机 豪华版,电子产品,电脑办公,1939.44,2023-10-07,在售
P0089,打印机 青春版,电子产品,电脑办公,1857.69,2022-06-01,在售
P0090,打印机 Pro版,电子产品,电脑办公,48.43,2022-04-20,在售
P0091,智能手表 标准版,电子产品,智能穿戴,632.84,2022-02-21,在售
P0092,智能手表 升级版,电子产品,智能穿戴,2003.76,2023-04-21,在售
P0093,智能手表 豪华版,电子产品,智能穿戴,2858.5,2023-03-30,在售
P0094,智能手表 青春版,电子产品,智能穿戴,1990.9,2023-07-16,在售
P0095,手环 标准版,电子产品,智能穿戴,2023.75,2022-09-11,在售
P0096,手环 升级版,电子产品,智能穿戴,900.99,2022-09-02,在售
P0097,手环 豪华版,电子产品,智能穿戴,210.58,2022-11-24,缺货
P0098,手环 青春版,电子产品,智能穿戴,199.85,2022-06-06,在售
P0099,AR眼镜 标准版,电子产品,智能穿戴,1050.25,2022-03-05,在售
P0100,AR眼镜 升级版,电子产品,智能穿戴,1430.0,2023-12-14,在售
P0101,AR眼镜 豪华版,电子产品,智能穿戴,2525.21,2022-12-27,在售
P0102,智能戒指 标准版,电子产品,智能穿戴,2932.48,2023-07-14,在售
P0103,智能戒指 升级版,电子产品,智能穿戴,2455.92,2023-05-13,在售
P0104,智能戒指 豪华版,电子产品,智能穿戴,1034.72,2022-06-19,在售
P0105,智能戒指 青春版,电子产品,智能穿戴,3194.6,2023-02-08,在售
P0106,智能戒指 Pro版,电子产品,智能穿戴,1416.65,2023-04-18,在售
P0107,智能戒指 Plus版,电子产品,智能穿戴,666.49,2022-12-12,在售
P0108,移动硬盘 标准版,电子产品,存储设备,978.26,2022-03-25,在售
P0109,移动硬盘 升级版,电子产品,存储设备,1561.78,2022-08-18,在售
P0110,移动硬盘 豪华版,电子产品,存储设备,2332.74,2022-09-11,在售
P0111,移动硬盘 青春版,电子产品,存储设备,67.25,2023-11-17,在售
P0112,移动硬盘 Pro版,电子产品,存储设备,2558.03,2023-01-13,在售
P0113,移动硬盘 Plus版,电子产品,存储设备,1908.02,2022-06-17,下架
P0114,U盘 标准版,电子产品,存储设备,1977.97,2023-01-20,在售
P0115,U盘 升级版,电子产品,存储设备,1517.56,2023-10-05,在售
P0116,U盘 豪华版,电子产品,存储设备,1717.2,2022-05-04,在售
P0117,固态硬盘 标准版,电子产品,存储设备,1978.35,2023-01-15,在售
P0118,固态硬盘 升级版,电子产品,存储设备,1314.49,2023-05-17,在售
P0119,固态硬盘 豪华版,电子产品,存储设备,2838.73,2023-12-26,在售
P0120,固态硬盘 青春版,电子产品,存储设备,513.05,2023-09-23,在售
P0121,固态硬盘 Pro版,电子产品,存储设备,1479.24,2023-08-30,在售
P0122,固态硬盘 Plus版,电子产品,存储设备,2769.56,2023-04-07,在售
P0123,固态硬盘 迷你版,电子产品,存储设备,1370.46,2022-01-30,在售
P0124,存储卡 标准版,电子产品,存储设备,440.5,2022-12-15,在售
P0125,存储卡 升级版,电子产品,存储设备,1992.74,2023-06-14,缺货
P0126,存储卡 豪华版,电子产品,存储设备,291.86,2022-09-04,在售
P0127,存储卡 青春版,电子产品,存储设备,1777.03,2022-04-06,在售
P0128,存储卡 Pro版,电子产品,存储设备,970.48,2023-01-13,在售
P0129,电饭煲 标准版,家居用品,厨房电器,734.61,2022-12-27,在售
P0130,电饭煲 升级版,家居用品,厨房电器,396.8,2022-07-17,在售
P0131,电饭煲 豪华版,家居用品,厨房电器,1532.49,2022-07-16,在售
P0132,电饭煲 青春版,家居用品,厨房电器,906.35,2023-06-22,在售
P0133,电饭煲 Pro版,家居用品,厨房电器,1911.75,2023-01-05,在售
P0134,电饭煲 Plus版,家居用品,厨房电器,40.35,2022-02-25,在售
P0135,电饭煲 迷你版,家居用品,厨房电器,920.14,2023-05-18,在售
P0136,破壁机 标准版,家居用品,厨房电器,938.31,2022-07-08,下架
P0137,破壁机 升级版,家居用品,厨房电器,513.55,2022-03-08,在售
P0138,破壁机 豪华版,家居用品,厨房电器,147.22,2022-06-02,在售
P0139,空气炸锅 标准版,家居用品,厨房电器,134.27,2023-03-03,在售
P0140,空气炸锅 升级版,家居用品,厨房电器,1112.44,2023-04-07,缺货
P0141,空气炸锅 豪华版,家居用品,厨房电器,526.48,2023-08-06,在售
P0142,空气炸锅 青春版,家居用品,厨房电器,1144.9,2022-08-01,在售
P0143,空气炸锅 Pro版,家居用品,厨房电器,346.27,2023-07-20,在售
P0144,微波炉 标准版,家居用品,厨房电器,754.45,2022-02-03,在售
P0145,微波炉 升级版,家居用品,厨房电器,1301.0,2023-12-05,在售
P0146,微波炉 豪华版,家居用品,厨房电器,519.92,2022-07-22,在售
P0147,电磁炉 标准版,家居用品,厨房电器,310.26,2022-05-26,在售
P0148,电磁炉 升级版,家居用品,厨房电器,257.36,2023-08-06,缺货
P0149,电磁炉 豪华版,家居用品,厨房电器,721.33,2023-02-17,缺货
P0150,电磁炉 青春版,家居用品,厨房电器,831.2,2022-02-10,缺货
P0151,电磁炉 Pro版,家居用品,厨房电器,1285.17,2022-08-23,下架
P0152,电磁炉 Plus版,家居用品,厨房电器,1438.73,2023-11-20,在售
P0153,电磁炉 迷你版,家居用品,厨房电器,1095.26,2023-06-16,在售
P0154,电水壶 标准版,家居用品,厨房电器,327.53,2023-05-19,下架
P0155,电水壶 升级版,家居用品,厨房电器,745.06,2022-04-18,缺货
P0156,电水壶 豪华版,家居用品,厨房电器,613.89,2023-02-15,在售
P0157,电水壶 青春版,家居用品,厨房电器,892.53,2022-11-28,在售
P0158,电水壶 Pro版,家居用品,厨房电器,1532.92,2022-01-02,在售
P0159,吸尘器 标准版,家居用品,清洁电器,583.63,2023-09-30,在售
P0160,吸尘器 升级版,家居用品,清洁电器,1185.32,2023-07-17,在售
P0161,吸尘器 豪华版,家居用品,清洁电器,588.16,2022-01-30,下架
P0162,吸尘器 青春版,家居用品,清洁电器,867.31,2023-07-19,在售
P0163,吸尘器 Pro版,家居用品,清洁电器,580.4,2022-04-27,在售
P0164,吸尘器 Plus版,家居用品,清洁电器,246.13,2022-10-26,在售
P0165,吸尘器 迷你版,家居用品,清洁电器,547.7,2022-09-07,在售
P0166,扫地机器人 标准版,家居用品,清洁电器,791.07,2022-05-20,缺货
P0167,扫地机器人 升级版,家居用品,清洁电器,541.74,2023-06-04,在售
P0168,扫地机器人 豪华版,家居用品,清洁电器,23.24,2023-08-17,下架
P0169,扫地机器人 青春版,家居用品,清洁电器,659.86,2022-12-20,在售
P0170,洗衣机 标准版,家居用品,清洁电器,782.05,2023-12-16,在售
P0171,洗衣机 升级版,家居用品,清洁电器,766.77,2022-11-22,在售
P0172,洗衣机 豪华版,家居用品,清洁电器,1366.97,2023-11-11,在售
P0173,洗衣机 青春版,家居用品,清洁电器,876.33,2022-05-10,在售
P0174,洗衣机 Pro版,家居用品,清洁电器,1178.29,2023-03-27,在售
P0175,洗衣机 Plus版,家居用品,清洁电器,1106.19,2023-11-02,下架
P0176,洗衣机 迷你版,家居用品,清洁电器,160.04,2023-10-01,在售
P0177,干衣机 标准版,家居用品,清洁电器,133.88,2023-07-01,在售
P0178,干衣机 升级版,家居用品,清洁电器,597.44,2023-07-09,在售
P0179,干衣机 豪华版,家居用品,清洁电器,137.44,2022-08-21,在售
P0180,干衣机 青春版,家居用品,清洁电器,566.51,2022-04-13,在售
P0181,干衣机 Pro版,家居用品,清洁电器,1403.24,2022-02-27,在售
P0182,干衣机 Plus版,家居用品,清洁电器,507.24,2023-08-03,在售
P0183,干衣机 迷你版,家居用品,清洁电器,255.57,2023-01-27,在售
P0184,干衣机 大容量版,家居用品,清洁电器,502.2,2023-04-18,在售
P0185,电风扇 标准版,家居用品,生活电器,317.55,2022-10-22,在售
P0186,电风扇 升级版,家居用品,生活电器,265.83,2023-08-25,在售
P0187,电风扇 豪华版,家居用品,生活电器,1752.82,2022-11-06,在售
P0188,电风扇 青春版,家居用品,生活电器,638.99,2023-08-09,在售
P0189,电风扇 Pro版,家居用品,生活电器,554.14,2023-11-06,在售
P0190,电风扇 Plus版,家居用品,生活电器,35.65,2022-02-20,缺货
P0191,空调 标准版,家居用品,生活电器,1010.41,2022-08-24,在售
P0192,空调 升级版,家居用品,生活电器,636.13,2023-11-26,在售
P0193,空调 豪华版,家居用品,生活电器,1395.46,2022-04-10,缺货
P0194,空调 青春版,家居用品,生活电器,960.54,2023-08-17,在售
P0195,空调 Pro版,家居用品,生活电器,282.81,2023-03-02,在售
P0196,空调 Plus版,家居用品,生活电器,237.38,2023-06-28,在售
P0197,空调 迷你版,家居用品,生活电器,377.2,2023-05-09,下架
P0198,空调 大容量版,家居用品,生活电器,599.35,2023-04-25,下架
P0199,加湿器 标准版,家居用品,生活电器,1061.56,2023-11-22,下架
P0200,加湿器 升级版,家居用品,生活电器,1861.78,2023-02-09,在售
P0201,加湿器 豪华版,家居用品,生活电器,870.97,2023-11-20,在售
P0202,加湿器 青春版,家居用品,生活电器,687.19,2023-11-23,在售
P0203,除湿机 标准版,家居用品,生活电器,1277.15,2023-09-17,在售
P0204,除湿机 升级版,家居用品,生活电器,140.92,2022-11-06,在售
P0205,除湿机 豪华版,家居用品,生活电器,155.73,2023-05-20,在售
P0206,空气净化器 标准版,家居用品,生活电器,1174.53,2023-11-18,缺货
P0207,空气净化器 升级版,家居用品,生活电器,1179.51,2022-06-08,缺货
P0208,空气净化器 豪华版,家居用品,生活电器,1284.04,2022-10-14,在售
P0209,空气净化器 青春版,家居用品,生活电器,602.56,2023-01-07,在售
P0210,办公椅 标准版,家居用品,家具,751.63,2022-03-04,在售
P0211,办公椅 升级版,家居用品,家具,259.25,2023-04-11,在售
P0212,办公椅 豪华版,家居用品,家具,390.59,2022-02-21,在售
P0213,办公椅 青春版,家居用品,家具,329.82,2022-03-12,在售
P0214,办公椅 Pro版,家居用品,家具,965.23,2022-08-27,在售
P0215,办公椅 Plus版,家居用品,家具,313.79,2022-05-29,下架
P0216,办公椅 迷你版,家居用品,家具,1045.31,2022-01-27,在售
P0217,办公椅 大容量版,家居用品,家具,696.35,2022-01-17,在售
P0218,升降桌 标准版,家居用品,家具,213.92,2022-03-07,在售
P0219,升降桌 升级版,家居用品,家具,1296.69,2023-05-31,在售
P0220,升降桌 豪华版,家居用品,家具,1147.87,2023-11-06,在售
P0221,沙发 标准版,家居用品,家具,794.43,2023-02-16,在售
P0222,沙发 升级版,家居用品,家具,215.2,2022-03-24,在售
P0223,沙发 豪华版,家居用品,家具,206.03,2023-08-23,在售
P0224,沙发 青春版,家居用品,家具,695.46,2023-04-10,在售
P0225,沙发 Pro版,家居用品,家具,834.21,2023-11-02,在售
P0226,沙发 Plus版,家居用品,家具,1425.9,2023-04-08,缺货
P0227,床 标准版,家居用品,家具,555.68,2022-04-08,在售
P0228,床 升级版,家居用品,家具,456.55,2023-12-05,缺货
P0229,床 豪华版,家居用品,家具,148.99,2022-04-09,在售
P0230,床 青春版,家居用品,家具,499.08,2023-07-30,在售
P0231,床 Pro版,家居用品,家具,1056.92,2023-03-10,缺货
P0232,床 Plus版,家居用品,家具,1499.5,2022-12-27,在售
P0233,衣柜 标准版,家居用品,家具,395.13,2022-04-21,在售
P0234,衣柜 升级版,家居用品,家具,730.82,2022-08-20,在售
P0235,衣柜 豪华版,家居用品,家具,1758.68,2023-09-21,在售
P0236,衣柜 青春版,家居用品,家具,980.98,2023-12-12,在售
P0237,衣柜 Pro版,家居用品,家具,345.62,2022-12-14,在售
P0238,衣柜 Plus版,家居用品,家具,251.95,2022-03-13,在售
P0239,衣柜 迷你版,家居用品,家具,781.78,2022-08-09,在售
P0240,书架 标准版,家居用品,家具,532.71,2023-08-05,在售
P0241,书架 升级版,家居用品,家具,1185.26,2022-02-20,在售
P0242,书架 豪华版,家居用品,家具,501.7,2023-03-29,在售
P0243,书架 青春版,家居用品,家具,371.11,2022-04-24,在售
P0244,书架 Pro版,家居用品,家具,1116.61,2022-02-16,在售
P0245,书架 Plus版,家居用品,家具,1230.07,2022-08-05,在售
P0246,薯片 标准版,食品饮料,休闲零食,26.79,2023-03-17,在售
P0247,薯片 升级版,食品饮料,休闲零食,48.36,2023-11-16,在售
P0248,薯片 豪华版,食品饮料,休闲零食,12.55,2022-01-20,在售
P0249,薯片 青春版,食品饮料,休闲零食,9.97,2023-02-19,在售
P0250,薯片 Pro版,食品饮料,休闲零食,37.57,2022-11-29,在售
P0251,坚果 标准版,食品饮料,休闲零食,57.48,2023-03-24,在售
P0252,坚果 升级版,食品饮料,休闲零食,30.24,2023-02-10,缺货
P0253,坚果 豪华版,食品饮料,休闲零食,70.17,2022-03-20,在售
P0254,坚果 青春版,食品饮料,休闲零食,15.06,2022-12-24,在售
P0255,坚果 Pro版,食品饮料,休闲零食,113.89,2022-04-16,在售
P0256,坚果 Plus版,食品饮料,休闲零食,25.24,2023-11-03,在售
P0257,坚果 迷你版,食品饮料,休闲零食,112.09,2023-08-01,在售
P0258,巧克力 标准版,食品饮料,休闲零食,91.6,2023-10-02,在售
P0259,巧克力 升级版,食品饮料,休闲零食,96.17,2023-04-26,在售
P0260,巧克力 豪华版,食品饮料,休闲零食,30.9,2023-06-04,在售
P0261,巧克力 青春版,食品饮料,休闲零食,39.09,2022-10-21,在售
P0262,巧克力 Pro版,食品饮料,休闲零食,113.94,2023-06-04,在售
P0263,巧克力 Plus版,食品饮料,休闲零食,81.09,2022-02-12,在售
P0264,饼干 标准版,食品饮料,休闲零食,65.59,2022-06-04,下架
P0265,饼干 升级版,食品饮料,休闲零食,59.73,2022-03-28,在售
P0266,饼干 豪华版,食品饮料,休闲零食,18.33,2023-03-26,在售
P0267,饼干 青春版,食品饮料,休闲零食,63.09,2023-02-01,在售
P0268,饼干 Pro版,食品饮料,休闲零食,41.12,2023-10-25,在售
P0269,饼干 Plus版,食品饮料,休闲零食,39.31,2022-09-16,在售
P0270,饼干 迷你版,食品饮料,休闲零食,89.38,2022-12-08,在售
P0271,糖果 标准版,食品饮料,休闲零食,16.45,2023-12-17,在售
P0272,糖果 升级版,食品饮料,休闲零食,18.47,2023-07-27,在售
P0273,糖果 豪华版,食品饮料,休闲零食,102.63,2023-12-03,缺货
P0274,糖果 青春版,食品饮料,休闲零食,13.96,2022-01-19,在售
P0275,糖果 Pro版,食品饮料,休闲零食,18.64,2023-05-13,在售
P0276,糖果 Plus版,食品饮料,休闲零食,89.29,2022-04-14,在售
P0277,糖果 迷你版,食品饮料,休闲零食,68.53,2023-11-09,在售
P0278,糖果 大容量版,食品饮料,休闲零食,67.84,2022-06-16,在售
P0279,燕麦片 标准版,食品饮料,早餐谷物,99.85,2023-03-25,在售
P0280,燕麦片 升级版,食品饮料,早餐谷物,46.83,2023-09-18,在售
P0281,燕麦片 豪华版,食品饮料,早餐谷物,80.72,2022-11-13,下架
P0282,燕麦片 青春版,食品饮料,早餐谷物,106.02,2023-11-26,缺货
P0283,燕麦片 Pro版,食品饮料,早餐谷物,106.07,2023-01-27,在售
P0284,燕麦片 Plus版,食品饮料,早餐谷物,38.87,2023-09-12,在售
P0285,燕麦片 迷你版,食品饮料,早餐谷物,31.84,2023-07-22,缺货
P0286,燕麦片 大容量版,食品饮料,早餐谷物,79.73,2022-03-27,在售
P0287,麦片 标准版,食品饮料,早餐谷物,51.31,2022-04-04,缺货
P0288,麦片 升级版,食品饮料,早餐谷物,25.86,2022-01-28,在售
P0289,麦片 豪华版,食品饮料,早餐谷物,42.16,2022-03-25,在售
P0290,麦片 青春版,食品饮料,早餐谷物,7.13,2023-10-28,在售
P0291,麦片 Pro版,食品饮料,早餐谷物,13.78,2023-04-29,在售
P0292,玉米片 标准版,食品饮料,早餐谷物,82.72,2022-03-23,在售
P0293,玉米片 升级版,食品饮料,早餐谷物,20.93,2023-09-16,在售
P0294,玉米片 豪华版,食品饮料,早餐谷物,12.98,2022-02-18,在售
P0295,玉米片 青春版,食品饮料,早餐谷物,76.05,2023-05-27,在售
P0296,豆浆粉 标准版,食品饮料,早餐谷物,73.41,2022-10-26,在售
P0297,豆浆粉 升级版,食品饮料,早餐谷物,58.97,2023-11-12,在售
P0298,豆浆粉 豪华版,食品饮料,早餐谷物,54.42,2023-07-12,在售
P0299,矿泉水 标准版,食品饮料,饮料,58.47,2023-10-13,在售
P0300,矿泉水 升级版,食品饮料,饮料,48.56,2022-03-11,在售
P0301,矿泉水 豪华版,食品饮料,饮料,87.05,2022-12-07,在售
P0302,矿泉水 青春版,食品饮料,饮料,36.96,2023-12-03,在售
P0303,矿泉水 Pro版,食品饮料,饮料,82.89,2022-03-06,在售
P0304,矿泉水 Plus版,食品饮料,饮料,77.7,2022-07-24,缺货
P0305,矿泉水 迷你版,食品饮料,饮料,32.81,2023-07-11,在售
P0306,碳酸饮料 标准版,食品饮料,饮料,69.46,2022-02-18,缺货
P0307,碳酸饮料 升级版,食品饮料,饮料,30.49,2023-02-14,在售
P0308,碳酸饮料 豪华版,食品饮料,饮料,92.6,2023-05-24,在售
P0309,果汁 标准版,食品饮料,饮料,102.95,2023-03-11,在售
P0310,果汁 升级版,食品饮料,饮料,79.21,2022-11-25,在售
P0311,果汁 豪华版,食品饮料,饮料,33.69,2023-03-13,在售
P0312,果汁 青春版,食品饮料,饮料,48.91,2022-12-28,在售
P0313,果汁 Pro版,食品饮料,饮料,53.16,2022-02-28,在售
P0314,茶饮料 标准版,食品饮料,饮料,46.65,2022-06-13,下架
P0315,茶饮料 升级版,食品饮料,饮料,19.12,2022-02-05,在售
P0316,茶饮料 豪华版,食品饮料,饮料,30.28,2023-08-04,在售
P0317,茶饮料 青春版,食品饮料,饮料,18.68,2023-03-31,在售
P0318,茶饮料 Pro版,食品饮料,饮料,65.34,2023-10-28,在售
P0319,茶饮料 Plus版,食品饮料,饮料,78.42,2023-06-15,在售
P0320,茶饮料 迷你版,食品饮料,饮料,54.8,2023-04-02,在售
P0321,茶饮料 大容量版,食品饮料,饮料,75.61,2022-07-24,在售
P0322,咖啡 标准版,食品饮料,饮料,62.37,2022-03-31,在售
P0323,咖啡 升级版,食品饮料,饮料,134.79,2023-12-28,在售
P0324,咖啡 豪华版,食品饮料,饮料,73.9,2023-12-30,在售
P0325,大米 标准版,食品饮料,粮油调味,82.54,2022-05-05,下架
P0326,大米 升级版,食品饮料,粮油调味,75.11,2023-01-05,在售
P0327,大米 豪华版,食品饮料,粮油调味,49.32,2023-09-19,缺货
P0328,大米 青春版,食品饮料,粮油调味,9.26,2023-05-06,在售
P0329,大米 Pro版,食品饮料,粮油调味,100.28,2022-11-21,在售
P0330,大米 Plus版,食品饮料,粮油调味,56.02,2023-07-19,在售
P0331,大米 迷你版,食品饮料,粮油调味,27.93,2022-02-26,在售
P0332,大米 大容量版,食品饮料,粮油调味,52.09,2023-12-28,在售
P0333,食用油 标准版,食品饮料,粮油调味,117.36,2023-10-13,下架
P0334,食用油 升级版,食品饮料,粮油调味,34.38,2022-04-06,在售
P0335,食用油 豪华版,食品饮料,粮油调味,25.86,2023-11-06,在售
P0336,食用油 青春版,食品饮料,粮油调味,90.68,2022-02-12,在售
P0337,食用油 Pro版,食品饮料,粮油调味,4.36,2023-08-14,在售
P0338,食用油 Plus版,食品饮料,粮油调味,26.36,2022-02-01,在售
P0339,食用油 迷你版,食品饮料,粮油调味,61.98,2023-05-10,在售
P0340,酱油 标准版,食品饮料,粮油调味,45.13,2022-06-11,在售
P0341,酱油 升级版,食品饮料,粮油调味,45.86,2022-11-17,缺货
P0342,酱油 豪华版,食品饮料,粮油调味,46.84,2023-02-13,在售
P0343,酱油 青春版,食品饮料,粮油调味,43.92,2023-04-23,在售
P0344,酱油 Pro版,食品饮料,粮油调味,40.99,2023-01-29,缺货
P0345,酱油 Plus版,食品饮料,粮油调味,59.61,2022-12-02,缺货
P0346,酱油 迷你版,食品饮料,粮油调味,66.54,2023-06-12,在售
P0347,酱油 大容量版,食品饮料,粮油调味,96.89,2023-02-07,在售
P0348,醋 标准版,食品饮料,粮油调味,23.75,2023-05-22,在售
P0349,醋 升级版,食品饮料,粮油调味,101.91,2022-01-09,在售
P0350,醋 豪华版,食品饮料,粮油调味,59.18,2023-02-17,在售
P0351,醋 青春版,食品饮料,粮油调味,47.46,2023-07-21,在售
P0352,盐 标准版,食品饮料,粮油调味,65.03,2023-10-01,在售
P0353,盐 升级版,食品饮料,粮油调味,19.51,2022-12-14,在售
P0354,盐 豪华版,食品饮料,粮油调味,33.82,2023-02-16,在售
P0355,盐 青春版,食品饮料,粮油调味,6.1,2023-05-01,在售
P0356,盐 Pro版,食品饮料,粮油调味,22.74,2023-09-20,在售
P0357,盐 Plus版,食品饮料,粮油调味,47.75,2023-08-31,在售
P0358,T恤 标准版,服装鞋帽,男装,494.91,2022-01-18,在售
P0359,T恤 升级版,服装鞋帽,男装,705.93,2023-12-06,在售
P0360,T恤 豪华版,服装鞋帽,男装,433.34,2023-08-16,在售
P0361,T恤 青春版,服装鞋帽,男装,625.47,2023-10-07,在售
